Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,file_speech,length (s),level_0,Unnamed: 0,file_rir,room,dataset,vol,computed_rt60,rt60,snr,clip_label,file_clip,split,log_vol,log_rt60,log_vol_norm,vol_dnorm,log_rt60_norm,rt60_dnorm,file_feature,boundary_point,rir_sr,BP
47,47,48,/home/cxw/GAN/own_dataset/voice_ace/Speech/F5s5.wav,10.45868481,345,345,/home/cxw/GAN/own_dataset/rirs/C4DM/classroomOmni/Omni/55x25y.wav,classroom,C4DM,236.0,1.8405,1.854630102,0,clip11_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip11_snr_0db.wav,train,2.372912003,2.343454506,0.399733455,2.372912003,0.390662361,2.343454506,/home/cxw/sonos_rirs/features/080122_5k_phase/clip11_snr_0db.npz,195.64,48000,9390
51,51,52,/home/cxw/GAN/own_dataset/voice_ace/Speech/F2s5.wav,12.91954649,137,137,/home/cxw/GAN/own_dataset/rirs/openair/ron-cooke-hub-university-york/b-format/sssr.wav,ron-cooke-hub-university-york,openair,3500.0,,0.832805556,0,clip12_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip12_snr_0db.wav,test,3.544068044,1.672644376,0.760377358,3.544068044,0.184094171,1.672644376,/home/cxw/sonos_rirs/features/080122_5k_phase/clip12_snr_0db.npz,274.24,48000,13163
55,55,56,/home/cxw/GAN/own_dataset/voice_ace/Speech/F1s5.wav,11.59564626,382,382,/home/cxw/GAN/own_dataset/rirs/C4DM/octagonOmni/Omni/x05y09.wav,octagon,C4DM,9500.0,1.8558125,1.877630859,0,clip13_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip13_snr_0db.wav,test,3.977723605,2.353781353,0.893916553,3.977723605,0.393842393,2.353781353,/home/cxw/sonos_rirs/features/080122_5k_phase/clip13_snr_0db.npz,203.05,48000,9746
59,59,60,/home/cxw/GAN/own_dataset/voice_ace/Speech/M3s5.wav,13.62249433,531,531,/home/cxw/GAN/own_dataset/pra/080322_pra/080322_pra_room24.wav,080322_pra_room24,080322_pra,562.3413252,2.4656875,2.4656875,0,clip14_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip14_snr_0db.wav,val,2.75,2.58205968,0.515853325,2.75,0.464138053,2.58205968,/home/cxw/sonos_rirs/features/080122_5k_phase/clip14_snr_0db.npz,15.4,48000,739
63,63,64,/home/cxw/GAN/own_dataset/voice_ace/Speech/F3s5.wav,12.6770068,420,420,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/1_2.wav,cuboid_room,dechorate,86.4,5.2920625,5.287554775,0,clip15_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip15_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip15_snr_0db.npz,176.21,48000,8458
67,67,68,/home/cxw/GAN/own_dataset/voice_ace/Speech/F1s4.wav,67.04730159,135,135,/home/cxw/GAN/own_dataset/rirs/openair/ron-cooke-hub-university-york/b-format/fstr.wav,ron-cooke-hub-university-york,openair,3500.0,0.8138125,0.832805556,0,clip16_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip16_snr_0db.wav,test,3.544068044,1.672644376,0.760377358,3.544068044,0.184094171,1.672644376,/home/cxw/sonos_rirs/features/080122_5k_phase/clip16_snr_0db.npz,225.65,48000,10831
71,71,72,/home/cxw/GAN/own_dataset/voice_ace/Speech/F5s3.wav,5.170340136,484,484,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/6_19.wav,cuboid_room,dechorate,86.4,5.2901875,5.287554775,0,clip17_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip17_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip17_snr_0db.npz,181.07,48000,8691
75,75,76,/home/cxw/GAN/own_dataset/voice_ace/Speech/M3s4.wav,78.63428571,264,264,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID04_20170906_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,Hotel_SkalskyDvur_ConferenceRoom2,BUT_ReverbDB,1038.103655,0.964,0.950140625,0,clip18_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip18_snr_0db.wav,train,3.01624072,1.783080173,0.597839063,3.01624072,0.218101592,1.783080173,/home/cxw/sonos_rirs/features/080122_5k_phase/clip18_snr_0db.npz,53.44,48000,2565
79,79,80,/home/cxw/GAN/own_dataset/voice_ace/Speech/F2s4.wav,74.94340136,270,270,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/VUT_FIT_C236/MicID01/SpkID01_20190503_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,VUT_FIT_C236,BUT_ReverbDB,102.1183832,0.9850625,0.93413125,0,clip19_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip19_snr_0db.wav,test,2.00910393,1.768842685,0.287702983,2.00910393,0.213717323,1.768842685,/home/cxw/sonos_rirs/features/080122_5k_phase/clip19_snr_0db.npz,17.56,48000,842
83,83,84,/home/cxw/GAN/own_dataset/voice_ace/Speech/M4s4.wav,77.58721088,105,105,/home/cxw/GAN/own_dataset/rirs/openair/genesis-6-studio-live-room-drum-set/b-format/toma_ir.wav,genesis-6-studio-live-room-drum-set,openair,2300.0,1.1620625,1.10634375,0,clip20_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip20_snr_0db.wav,train,3.361727836,1.910604703,0.704227809,3.361727836,0.25737129,1.910604703,/home/cxw/sonos_rirs/features/080122_5k_phase/clip20_snr_0db.npz,27.74,48000,1331
87,87,88,/home/cxw/GAN/own_dataset/voice_ace/Speech/M3s5.wav,13.62249433,233,233,/home/cxw/GAN/own_dataset/rirs/openair/st-margarets-church-national-centre-early-music/b-format/r8_1st_configuration.wav,st-margarets-church-national-centre-early-music,openair,2600.0,13.4066875,13.64459215,0,clip21_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip21_snr_0db.wav,test,3.414973348,4.015500611,0.720624146,3.414973348,0.905549543,4.015500611,/home/cxw/sonos_rirs/features/080122_5k_phase/clip21_snr_0db.npz,128.14,48000,6150
91,91,92,/home/cxw/GAN/own_dataset/voice_ace/Speech/M9s3.wav,12.30077098,143,143,/home/cxw/GAN/own_dataset/rirs/openair/shrine-and-parish-church-all-saints-north-street-_/b-format/r1_90_bformat.wav,shrine-and-parish-church-all-saints-north-street-_,openair,18000.0,18.46,19.6765,0,clip22_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip22_snr_0db.wav,train,4.255272505,4.322219295,0.979384514,4.255272505,1.0,4.322219295,/home/cxw/sonos_rirs/features/080122_5k_phase/clip22_snr_0db.npz,199.47,48000,9574
95,95,96,/home/cxw/GAN/own_dataset/voice_ace/Speech/M9s3.wav,12.30077098,313,313,/home/cxw/GAN/own_dataset/rirs/C4DM/classroomOmni/Omni/15x05y.wav,classroom,C4DM,236.0,1.8619375,1.854630102,0,clip23_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip23_snr_0db.wav,train,2.372912003,2.343454506,0.399733455,2.372912003,0.390662361,2.343454506,/home/cxw/sonos_rirs/features/080122_5k_phase/clip23_snr_0db.npz,159.23,48000,7643
99,99,100,/home/cxw/GAN/own_dataset/voice_ace/Speech/M6s4.wav,66.23301587,529,529,/home/cxw/GAN/own_dataset/pra/080322_pra/080322_pra_room22.wav,080322_pra_room22,080322_pra,501.1872336,4.2743125,4.2743125,0,clip24_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip24_snr_0db.wav,test,2.7,3.043000639,0.500456405,2.7,0.606079469,3.043000639,/home/cxw/sonos_rirs/features/080122_5k_phase/clip24_snr_0db.npz,41.09,48000,1972
103,103,104,/home/cxw/GAN/own_dataset/voice_ace/Speech/F5s4.wav,76.12503401,440,440,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/3_12.wav,cuboid_room,dechorate,86.4,5.2999375,5.287554775,0,clip25_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip25_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip25_snr_0db.npz,170.16,48000,8167
107,107,108,/home/cxw/GAN/own_dataset/voice_ace/Speech/M1s4.wav,46.56852608,229,229,/home/cxw/GAN/own_dataset/rirs/openair/st-margarets-church-national-centre-early-music/b-format/r6_3rd_configuration.wav,st-margarets-church-national-centre-early-music,openair,2600.0,12.2915,13.64459215,0,clip26_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip26_snr_0db.wav,test,3.414973348,4.015500611,0.720624146,3.414973348,0.905549543,4.015500611,/home/cxw/sonos_rirs/features/080122_5k_phase/clip26_snr_0db.npz,115.36,48000,5537
111,111,112,/home/cxw/GAN/own_dataset/voice_ace/Speech/F2s5.wav,12.91954649,418,418,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/1_12.wav,cuboid_room,dechorate,86.4,5.2921875,5.287554775,0,clip27_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip27_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip27_snr_0db.npz,180.82,48000,8679
115,115,116,/home/cxw/GAN/own_dataset/voice_ace/Speech/M7s4.wav,76.17469388,241,241,/home/cxw/GAN/own_dataset/rirs/openair/st-patricks-church-patrington/b-format/soundfield_s3r3.wav,st-patricks-church-patrington,openair,3600.0,3.5105625,4.4969375,0,clip28_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip28_snr_0db.wav,train,3.556302501,3.085540675,0.764144817,3.556302501,0.619179179,3.085540675,/home/cxw/sonos_rirs/features/080122_5k_phase/clip28_snr_0db.npz,73.38,48000,3522
119,119,120,/home/cxw/GAN/own_dataset/voice_ace/Speech/M1s4.wav,46.56852608,411,411,/home/cxw/GAN/own_dataset/rirs/C4DM/octagonOmni/Omni/x11y03.wav,octagon,C4DM,9500.0,1.847625,1.877630859,0,clip29_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip29_snr_0db.wav,test,3.977723605,2.353781353,0.893916553,3.977723605,0.393842393,2.353781353,/home/cxw/sonos_rirs/features/080122_5k_phase/clip29_snr_0db.npz,206.14,48000,9894
123,123,124,/home/cxw/GAN/own_dataset/voice_ace/Speech/M4s5.wav,10.38770975,370,370,/home/cxw/GAN/own_dataset/rirs/C4DM/octagonOmni/Omni/x04y03.wav,octagon,C4DM,9500.0,1.9766875,1.877630859,0,clip30_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip30_snr_0db.wav,train,3.977723605,2.353781353,0.893916553,3.977723605,0.393842393,2.353781353,/home/cxw/sonos_rirs/features/080122_5k_phase/clip30_snr_0db.npz,63.98,48000,3071
127,127,128,/home/cxw/GAN/own_dataset/voice_ace/Speech/F3s3.wav,10.4921542,46,46,/home/cxw/GAN/own_dataset/rirs/air/wav/air_lecture_1_1_3.wav,air_lecture,air,370.818,1.3070625,1.288351563,0,clip31_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip31_snr_0db.wav,train,2.569160807,2.038210457,0.460165995,2.569160807,0.296666,2.038210457,/home/cxw/sonos_rirs/features/080122_5k_phase/clip31_snr_0db.npz,58.85,48000,2824
131,131,132,/home/cxw/GAN/own_dataset/voice_ace/Speech/M8s4.wav,53.80512472,98,98,/home/cxw/GAN/own_dataset/rirs/openair/dixon-studio-theatre-university-york/b-format/r5_rir_bformat.wav,dixon-studio-theatre-university-york,openair,8000.0,2.878625,2.89165,0,clip32_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip32_snr_0db.wav,train,3.903089987,2.715575335,0.870933997,3.903089987,0.505252649,2.715575335,/home/cxw/sonos_rirs/features/080122_5k_phase/clip32_snr_0db.npz,130.65,48000,6271
135,135,136,/home/cxw/GAN/own_dataset/voice_ace/Speech/M7s3.wav,10.53410431,306,306,/home/cxw/GAN/own_dataset/rirs/C4DM/classroomOmni/Omni/00x40y.wav,classroom,C4DM,236.0,1.844375,1.854630102,0,clip33_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip33_snr_0db.wav,train,2.372912003,2.343454506,0.399733455,2.372912003,0.390662361,2.343454506,/home/cxw/sonos_rirs/features/080122_5k_phase/clip33_snr_0db.npz,188.03,48000,9025
139,139,140,/home/cxw/GAN/own_dataset/voice_ace/Speech/F1s3.wav,8.252562358,111,111,/home/cxw/GAN/own_dataset/rirs/openair/heslington-church-vaa-group-2/b-format/impulseresponseheslingtonchurch-003.wav,heslington-church-vaa-group-2,openair,9000.0,2.1435625,2.336839286,0,clip34_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip34_snr_0db.wav,train,3.954242509,2.537091535,0.886685822,3.954242509,0.450290635,2.537091535,/home/cxw/sonos_rirs/features/080122_5k_phase/clip34_snr_0db.npz,123.07,48000,5907
143,143,144,/home/cxw/GAN/own_dataset/voice_ace/Speech/M2s4.wav,74.67678005,281,281,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/VUT_FIT_D105/MicID01/SpkID03_20170901_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,VUT_FIT_D105,BUT_ReverbDB,2704.83588,0.95125,0.937083333,0,clip35_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip35_snr_0db.wav,train,3.432140919,1.771486295,0.7259107,3.432140919,0.214531392,1.771486295,/home/cxw/sonos_rirs/features/080122_5k_phase/clip35_snr_0db.npz,58.12,48000,2789
147,147,148,/home/cxw/GAN/own_dataset/voice_ace/Speech/M5s5.wav,16.13283447,15,15,/home/cxw/GAN/own_dataset/rirs/air/wav/air_booth_0_0_2.wav,air_booth,air,11.88,0.663875,0.667286458,0,clip36_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip36_snr_0db.wav,train,1.074816441,1.486994704,0.0,1.074816441,0.12692551,1.486994704,/home/cxw/sonos_rirs/features/080122_5k_phase/clip36_snr_0db.npz,5.69,48000,273
151,151,152,/home/cxw/GAN/own_dataset/voice_ace/Speech/M8s4.wav,53.80512472,189,189,/home/cxw/GAN/own_dataset/rirs/openair/st-margarets-church-national-centre-early-music/b-format/r19_2nd_configuration.wav,st-margarets-church-national-centre-early-music,openair,2600.0,14.0495,13.64459215,0,clip37_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip37_snr_0db.wav,val,3.414973348,4.015500611,0.720624146,3.414973348,0.905549543,4.015500611,/home/cxw/sonos_rirs/features/080122_5k_phase/clip37_snr_0db.npz,132.91,48000,6379
155,155,156,/home/cxw/GAN/own_dataset/voice_ace/Speech/M2s5.wav,12.92294785,115,115,/home/cxw/GAN/own_dataset/rirs/openair/heslington-church-vaa-group-2/b-format/impulseresponseheslingtonchurch-007.wav,heslington-church-vaa-group-2,openair,9000.0,2.6431875,2.336839286,0,clip38_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip38_snr_0db.wav,train,3.954242509,2.537091535,0.886685822,3.954242509,0.450290635,2.537091535,/home/cxw/sonos_rirs/features/080122_5k_phase/clip38_snr_0db.npz,218.53,48000,10489
159,159,160,/home/cxw/GAN/own_dataset/voice_ace/Speech/M6s4.wav,66.23301587,130,130,/home/cxw/GAN/own_dataset/rirs/openair/maes-howe/b-format/mh3_000_bformat_48k.wav,maes-howe,openair,13000.0,0.624375,0.624375,0,clip39_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip39_snr_0db.wav,train,4.113943352,1.43130479,0.935863842,4.113943352,0.109776448,1.43130479,/home/cxw/sonos_rirs/features/080122_5k_phase/clip39_snr_0db.npz,45.25,48000,2172
163,163,164,/home/cxw/GAN/own_dataset/voice_ace/Speech/F5s3.wav,5.170340136,281,281,/home/cxw/GAN/own_dataset/rirs/BUT_ReverbDB/VUT_FIT_D105/MicID01/SpkID03_20170901_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav,VUT_FIT_D105,BUT_ReverbDB,2704.83588,0.95125,0.937083333,0,clip40_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip40_snr_0db.wav,val,3.432140919,1.771486295,0.7259107,3.432140919,0.214531392,1.771486295,/home/cxw/sonos_rirs/features/080122_5k_phase/clip40_snr_0db.npz,58.12,48000,2789
167,167,168,/home/cxw/GAN/own_dataset/voice_ace/Speech/F5s5.wav,10.45868481,455,455,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/4_18.wav,cuboid_room,dechorate,86.4,5.2873125,5.287554775,0,clip41_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip41_snr_0db.wav,test,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip41_snr_0db.npz,184.44,48000,8853
171,171,172,/home/cxw/GAN/own_dataset/voice_ace/Speech/M8s4.wav,53.80512472,232,232,/home/cxw/GAN/own_dataset/rirs/openair/st-margarets-church-national-centre-early-music/b-format/r7_3rd_configuration.wav,st-margarets-church-national-centre-early-music,openair,2600.0,13.6086875,13.64459215,0,clip42_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip42_snr_0db.wav,train,3.414973348,4.015500611,0.720624146,3.414973348,0.905549543,4.015500611,/home/cxw/sonos_rirs/features/080122_5k_phase/clip42_snr_0db.npz,131.59,48000,6316
175,175,176,/home/cxw/GAN/own_dataset/voice_ace/Speech/M2s4.wav,74.67678005,242,242,/home/cxw/GAN/own_dataset/rirs/openair/terrys-factory-warehouse/b-format/terrys_warehouse_b_format.wav,terrys-factory-warehouse,openair,8000.0,11.4726875,11.4726875,0,clip43_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip43_snr_0db.wav,train,3.903089987,3.870240546,0.870933997,3.903089987,0.860818393,3.870240546,/home/cxw/sonos_rirs/features/080122_5k_phase/clip43_snr_0db.npz,507.15,48000,24343
179,179,180,/home/cxw/GAN/own_dataset/voice_ace/Speech/M3s5.wav,13.62249433,92,92,/home/cxw/GAN/own_dataset/rirs/openair/central-hall-university-york/b-format/ir_row_3c_centre_front.wav,central-hall-university-york,openair,1560.0,1.3715,1.35175,0,clip44_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip44_snr_0db.wav,test,3.193124598,2.07845746,0.652308399,3.193124598,0.309059598,2.07845746,/home/cxw/sonos_rirs/features/080122_5k_phase/clip44_snr_0db.npz,142.94,48000,6861
183,183,184,/home/cxw/GAN/own_dataset/voice_ace/Speech/M8s3.wav,4.549251701,31,31,/home/cxw/GAN/own_dataset/rirs/air/wav/air_lecture_0_0_6.wav,air_lecture,air,370.818,1.262125,1.288351563,0,clip45_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip45_snr_0db.wav,test,2.569160807,2.038210457,0.460165995,2.569160807,0.296666,2.038210457,/home/cxw/sonos_rirs/features/080122_5k_phase/clip45_snr_0db.npz,85.54,48000,4105
187,187,188,/home/cxw/GAN/own_dataset/voice_ace/Speech/M7s4.wav,76.17469388,444,444,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/3_24.wav,cuboid_room,dechorate,86.4,5.263375,5.287554775,0,clip46_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip46_snr_0db.wav,train,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip46_snr_0db.npz,224.47,48000,10774
191,191,192,/home/cxw/GAN/own_dataset/voice_ace/Speech/M9s3.wav,12.30077098,525,525,/home/cxw/GAN/own_dataset/pra/080322_pra/080322_pra_room18.wav,080322_pra_room18,080322_pra,338.8441561,4.194625,4.194625,0,clip47_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip47_snr_0db.wav,train,2.53,3.027233016,0.448106879,2.53,0.601224013,3.027233016,/home/cxw/sonos_rirs/features/080122_5k_phase/clip47_snr_0db.npz,37.82,48000,1815
195,195,196,/home/cxw/GAN/own_dataset/voice_ace/Speech/M4s5.wav,10.38770975,503,503,/home/cxw/GAN/own_dataset/rirs/dechorate_dataset/7_5.wav,cuboid_room,dechorate,86.4,5.279125,5.287554775,0,clip48_snr_0db,/home/cxw/sonos_rirs/reverb_audio/080322_10K/clip48_snr_0db.wav,test,1.936513742,3.221236976,0.265349678,1.936513742,0.660965279,3.221236976,/home/cxw/sonos_rirs/features/080122_5k_phase/clip48_snr_0db.npz,195.17,48000,9368
